entreprise;type_entreprise;siren;volet_relance;mesure;nom_departement;nom_commune;code_postal;coordonnees_gps;description_projet;mesure_light;mise_a_jour;filiere;tonnes_equivalent_co2_pour_les_projets_decarbonation;code_departement;nom_region
LABORATOIRE UNITHER;GE;440110088;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;MANCHE;COUTANCES;50200;49.0566189539, -1.44345003609;LABORATOIRE UNITHER est une entreprise pharmaceutique (CDMO) spécialisée dans la production de produits liquides et gels en unidoses stériles (e.g., sérum physiologique, produits inhalés pour l’asthme, collyres). Le projet CCUC vise l’augmentation de la capacité de production d’unidoses Blow-Fill-Feal (BFS) du LABORATOIRE UNITHER sur son site normand de Coutances afin de produire des collyres anti-inflammatoires, antibiotiques, et anti-glaucome entre autres. Ces produits s’inscrivent dans un marché de niche mais avec une croissance importante. Afin d’accompagner cette augmentation de capacité de production, la société prévoit le recrutement d’une centaine de personnes.;Relocalisation;2021-10-26;Santé;;50.0;NORMANDIE
VEGETAL & SANTE;TPE / PME;841487853;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;LOIRE;BAVAY;42370;46.0476606321, 3.90857597535;Filiale de la Laiterie Collet, l’entreprise Végétal & Santé fabrique des yaourts, des crèmes hyper protéinées et des desserts végétaux. Elle s’inscrit dans une agriculture durable garantissant une juste rémunération des producteurs locaux. L’entreprise finalise actuellement la construction d'une usine, dédiée à son activité végétale qui accueillera l’outil Pilote R&D, unique en France, pour développer de nouvelles recettes pour ses marques et ses partenaires industriels. Ce projet permettra l'embauche de 8 personnes dans les différents ateliers de production.;Relocalisation;2021-06-09;Agroalimentaire;;42.0;AUVERGNE-RHÔNE-ALPES
NUCLEAR VALLEY;Association;489360743;Indépendance / Compétitivité;Fonds de soutien aux investissements du secteur nucléaire;SAÔNE-ET-LOIRE;WITTELSHEIM;71100;46.77688647424013, 4.853667668698954;"unique pôle de compétitivité entièrement dédié à la filière nucléaire civile, Nuclear Valley représente aujourd’hui une communauté forte de plus de 320 adhérents.

HEVERETT GROUP, EXAKIS NELITE, AQUILA, LIMOS ainsi que NUCLEAR VALLEY s’associent en partenariat d’innovation pour mener à bien le projet D4N  (Datalake for Nuclear). Soutenu par EDF et le GIFEN, D4N applique les techniques de l’intelligence artificielle au profit de la qualité et de la performance des réalisations nucléaires. L’utilisation d’un lac de données pour la filière nucléaire permettra de capitaliser le savoir-faire métiers. La mise en place d’une place de marché apportera une aide à la décision, par le biais d’applications commercialisables utilisant de la donnée numérique, tracée, sécurisée, anonymisée, qualifiée, fiable et auditable par les autorités compétentes.";Nucléaire;2021-04-26;Nucléaire;;71.0;BOURGOGNE-FRANCHE-COMTÉ
CONSTELLIUM FRANCE;GE;672014081;Verdissement;Modernisation de la filière aéronautique;PUY-DE-DÔME;ISSOIRE;63502;45.55610031572238, 3.255917530646883;"Constellium Issoire  est une ETI  située dans le département du Puy-De-Dôme  à Issoire qui conçoit et fabrique des tôles laminées en alliages d’aluminium pour les marchés de l’aéronautique, du spatial , de la défense, du transport et de l’indutrie. En 2019, elle employait 1650 salariés et a réalisé un CA de 572 M€ dont 381 M€ à l’export et plus de 80% dans le secteur aéronautique.
Ce projet s’adresse au marché de l aéronautique essentiellement, avec une très forte concurrence internationale. Le projet consiste à installer une ligne automatisée de découpe d’échantillons à l’atelier tôles fortes (ATF) de l’usine Constellium Issoire. Il vise à implanter une nouvelle scie et un robot permettant de scier les éprouvettes, pour alimenter le centre de découpe et d’usinage des échantillons. Constellium Issoire  compte consolider son chiffre d’affaire  sur différents marchés dans les prochaines années grâce à la modernisation de ces équipements. Le développement de l’entreprise permettra de maintenir l’emploi et développer les activités.";Aéronautique;2021-02-10;Aéronautique;;63.0;AUVERGNE-RHÔNE-ALPES
INSTITUT NATIONAL DES SCIENCES ET TECHNIQUES NUCLÉAIRES;EPIC;77568501900561;Indépendance / Compétitivité;Renforcement des compétences;MANCHE;CHERBOURG EN COTENTIN;50130;49.63407450751286, -1.6520757963339465;"L’INSTN est un établissement public d’enseignement supérieur et un organisme de formation administré par le CEA. Depuis 1956, l’Institut délivre des enseignements et des formations de haute spécialisation à tous les niveaux de qualification portant sur les sciences et techniques nucléaires dans les domaines de l’énergie et de la santé.
Le projet ForCe a pour objectif de répondre aux besoins des industriels de la filière nucléaire en maintien et développement des compétences en radioprotection en région Normandie. Il permettra à l’INSTN de maintenir une offre de formation réglementaire certifiante par le biais de la mise en conformité de son chantier école. Le projet ForCE concourra également à accroître l’attractivité des formations et des métiers du nucléaire dans les domaines critiques que constituent la radioprotection et l’exploitation des installations par l’introduction du numérique et de la réalité virtuelle. Il développera l’offre de formation diplômante locale pour répondre aux besoins en gréement du tissu industriel local à travers la création d’une licence professionnelle.";Nucléaire - Compétences;2021-10-28;Nucléaire;;50.0;NORMANDIE
ORANO PROJETS;GE;817439524;Indépendance / Compétitivité;Renforcement des compétences;HAUTS-DE-SEINE;CHATILLON;92320;48.8034091756, 2.28799131883;Expert reconnu dans l’ingénierie du cycle du combustible nucléaire, Orano Projets est implanté en France sur 5 sites, ainsi qu’en Angleterre. Orano Projets met à disposition de ses clients internes et externes, une large gamme de solutions : conseil, études d’ingénierie, construction et essais, projets clés en main. Le projet IG 2025 a pour ambition d’accroître et de renforcer les compétences en installation générale, métier critique dans la filière nucléaire et pour lequel il n’existe pas de formation spécialisée dédiée. Le métier d'nstallation générale comporte un large domaine d’intervention qui couvre des domaines variés :  conception des bâtiments, coordination des volumes entre corps d’état, conception de réseaux de tuyauterie et accompagnement de la réalisation. Cela en fait un métier complexe et crucial particulièrement pour l’ingénierie du cycle du combustible et plus largement pour la filière nucléaire.;Nucléaire - Compétences;2022-01-27;Nucléaire;;92.0;ÎLE-DE-FRANCE
B. COSMETIQUE;TPE / PME;888104601;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;INDRE;ESCALQUENS;36000;46.801805994887964, 1.7385488998791148;B. COSMETIQUE est l’entité propriétaire de la marque de cosmétique Pier Augé, qui produit et distribue des soins cosmétiques pour le corps et le visage en instituts, pharmacies et parfumeries. Pier Augé est également fier de fournir les classes First & Business de nombreuses compagnies aériennes. Le projet  consiste en la modernisation de l’outil de production ainsi que la mise en place d’un espace stérile de grade pharmaceutique. Cela permettra à l’entreprise de produire et développer de nouvelles biotechnologies dans un cadre propice à la recherche et à la production de produits cosmétiques ainsi que de nouvelles innovations potentiellement applicable à l’industrie pharmaceutique. La modernisation et l’automatisation de l’outil de production permettront d’augmenter sa capacité de production et de répondre ainsi aux demandes des distributeurs sur les différents marchés de l’entreprise.;Projets territoriaux;2021-03-12;Santé;;36.0;CENTRE-VAL DE LOIRE
DUTOIT;TPE / PME;340983576;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;AISNE;BOHAIN-EN-VERMANDOIS;2110;49.989032874, 3.46522354976;La SAS DUTOIT spécialisée dans les avant-produits qualitatifs de pâtes techniques pour les professionnels de l'IAA, a fort progressé depuis 10 ans (CA multiplié par 2). Son outil saturé limite à ce jour son potentiel de développement malgré d'excellentes perspectives (demandes industrielles, référencement export). Ses méthodes encore trop artisanales pénalisent sa rentabilité dans un contexte concurrentiel de plus en plus fort. Il est aujourd'hui indispensable de prévoir investir dans des outils offrant un capacitaire suffisant de production tout en optimisant les performances.  Ceci impose de se donner les moyens immobiliers qui permettront d'accueillir ces outils.;Projets territoriaux;2021-03-02;Agroalimentaire;;2.0;HAUTS-DE-FRANCE
KEOPSYS INDUSTRIES;ETI;807649207;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;CÔTES-D'ARMOR;LANNION;22300;48.7062365317, -3.36791409215;Le projet ARCOL vise à concevoir une ligne pilote de fabrication de composants optoélectroniques à très forte valeur ajoutée indispensables  à la réalisation de ses amplificateurs et lasers à fibre produits par Keopsys Industries. A terme, il permettra de réduire la dépendance de l’entreprise vis-à-vis de ses fournisseurs étrangers les plus critiques, tout en renforçant sa compétitivité.;Relocalisation;2021-02-23;Electronique;;22.0;BRETAGNE
TEREOS France;TPE / PME;53324797900016;Verdissement;Efficacité énergétique et évolution des procédés dans l’industrie;PAS-DE-CALAIS;ATTIN;62170;50.483832802363416, 1.765668005617201;"La sucrerie Tereos d’Attin extrait, purifie et cristallise le sucre extrait de la betterave. La capacité de traitement est de 900 000 tonnes de betterave par an. La sucrerie est alimentée en vapeur et en électricité par une cogénération fonctionnant au charbon. Le projet consiste à récupérer la chaleur fatale sur de nombreux ateliers et à l’utiliser pour des besoins thermiques afin de diminuer les besoins en vapeur venant de la chaudière charbon. En complément, deux Recompressions Mécaniques de Vapeur (RMV) seront mises en place pour pallier la baisse de vapeur disponible à la chaufferie pour l’atelier évaporation des jus sucrées.  
Ce projet permettra un gain énergétique d’environ 42 900 MWh d’énergie primaire, soit un gain de 22% au périmètre du site et un gain en émissions GES d’environ 17 400 tCO2e par an, environ 26% des émissions du site. 
Ce projet représente la phase I de la démarche globale de décarbonation du site d’Attin. L’objectif est de réduire les consommations énergétiques de la chaudière charbon pour pouvoir ensuite remplacer le charbon par une énergie moins carbonée.";Efficacité énergétique;2021-11-16;Agroalimentaire;17410;62.0;HAUTS-DE-FRANCE
CLM INDUSTRIES;ETI;399772730;Indépendance / Compétitivité;Fonds de soutien aux investissements du secteur nucléaire;CÔTE-D'OR;COSNES-ET-ROMAIN;21171;47.2999007268, 5.13656967893;"CLM Industries, filiale du groupe Bourguignon GALILE (600 personnes, 30 sociétés), est une société industrielle spécialisée dans les domaines de la conception, de la réalisation (chaudronnerie, usinage) et de l'assemblage d'ensembles mécaniques et chaudronnés sur mesure pour les milieux exigeants du nucléaire, de la recherche et de la défense.

Le projet ASTRA comprend d'une part l'achat d'une machine d’usinage 5 axes pour améliorer la capacité dimensionnelle et l'efficacité de la fabrication de châssis et d'enceintes de boites à gants, et d'autre part le développement d'un bras d'inspection nucléarisé « ROBIN » pour équiper les boîtes à gants produites.";Nucléaire;2021-07-27;Nucléaire;;21.0;BOURGOGNE-FRANCHE-COMTÉ
FACAM DISTRIBUTION;TPE / PME;510086564;Verdissement;Modernisation de la filière automobile;NORD;AGEN;59960;50.7533162393, 3.15977251104;"FACAM Distribution est une PME de 25 personnes qui a réalisé en 2019 un chiffre d’affaires de 5,5 M€. Spécialisée dans la conception et la fabrication d’accessoires automobiles, son offre porte principalement sur la fourniture de Tapis en forme, de Tapis plats et de Bacs de coffre.
L’acquisition d’une ligne de thermocompression automatique et d’une machine à souder haute fréquence permettra d’obtenir, à partir d’un rouleau de moquette, des Tapis en forme ou des Bacs de coffre soudés et emballés. 
La recherche du temps le plus court pour passer de la matière première au produit fini est un gage de productivité et représente la condition indispensable pour rester aux panels des constructeurs automobiles.
L’objectif de FACAM Distribution consiste à poursuivre et à développer la production en France grâce à des moyens automatisés lui permettant d’être compétitif face à la concurrence internationale.";Automobile;2021-02-10;Automobile;;59.0;HAUTS-DE-FRANCE
MAGNA ENGINEERED GLASS EUROPE;GE;398193169;Verdissement;Modernisation de la filière automobile;HAUTE-MARNE;HUMES-JORQUENAY;52200;47.9037279897, 5.30437368964;"Magna Engineered Glass Europe est spécialisée dans l’encapsulation de vitres 
pour le secteur de l’automobile. 
Le projet doit permettre de : 
• Développer de nouveaux produits davantage techniques afin de s’ouvrir 
à de nouveaux marchés, notamment auprès de constructeurs premium ; 
• Transformer le site de production de manière à disposer d’une usine 4.0 
d’ici 3 ans, à travers notamment des véhicules autoguidés pour le 
transport de charge, la robotisation de certaines phases du process de 
production et la digitalisation des ateliers ; 
• Améliorer et faciliter les conditions de travail des employés.";Automobile;2021-04-21;Automobile;;52.0;GRAND EST
POLYTECH;TPE / PME;34911158300010;Verdissement;Modernisation de la filière automobile;DOUBS;AUTECHAUX;25110;47.380865842, 6.38532434702;"POLYTECH est une entreprise spécialisée dans la transformation de matières plastiques par rotomoulage : fabrication de réservoirs de carburant destinés aux petites flottes de véhicules spéciaux.
Le projet vise la construction d’une nouvelle ligne de production pour gérer en interne le traitement et la préparation de la matière première aujourd’hui sous-traités à un partenaire, produire des réservoirs à carburant de tout type (liquide et gaz dont l’hydrogène) et répondre aux nouvelles normes antipollution en vigueur ou en cours d’élaboration.";Automobile;2021-11-02;Automobile;;25.0;BOURGOGNE-FRANCHE-COMTÉ
UGITECH SA;GE;410436158;Verdissement;Modernisation de la filière automobile;AIN;BOURG-EN-BRESSE;1000;46.2051520382, 5.24602125501;Ugitech est une entreprise de sidérurgie dont le site de Bourg-en-Bresse conçoit, produit et commercialise du fil de soudure en acier inoxydable, pour les marchés automobile, aéronautique, construction et énergie. Le programme UGIWELD4.0/UGIWAM3D doit permettre à l’entreprise de moderniser, simplifier et reconfigurer le process de production de fil de soudure en acier inoxydable et de développer une nouvelle offre de fil de soudure en inox, et alliages métalliques, dédiée à la fabrication additive 3D. Il s’agit d’une diversification sur de nouvelles applications qui touchent tous les marchés de l’entreprise. Le programme doit également permettre de réduire la consommation d'eau et d'électricité d'environ 10% à travers la simplification du process et la création d’un nouveau circuit d’eau.;Automobile;2021-06-07;Automobile;;1.0;AUVERGNE-RHÔNE-ALPES
ARCHIPEL BOIS HABITAT-BOURBON BOIS EXPERIENCE;TPE / PME;844330100;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;LA RÉUNION;SAINT-PIERRE;97410;-21.336235644331087, 55.48639973485817;"Le projet consiste au financement d'une usine de production pour le développement d'une activité existante sur toute l’ile de la Réunion.  La société ARCHIPEL BOIS HABITAT-BOURBON BOIS EXPERIENCE est spécialisée dans la fabrication de structures bois et de charpentes industrielles pour la construction de maisons individuelles, d'immeubles et de rénovation. Cette usine et les dépôts de brevets en cours vont permettre un accroissement d’activité et la production de matériaux annexes et codexes. 
Archipel Bois Habitat Bourbon Bois Expérience recourt pour environ 30% de ses commandes à la sous-traitance.";Projets territoriaux;2021-03-02;Bois;;974.0;LA RÉUNION
CONCEPT COMPOSITES AUVERGNE- 2 CA;ETI;394252704;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;PUY-DE-DÔME;ARLANC;63220;45.4207986655, 3.72311154214;2CA souhaite se doter d’un outil industriel performant en renforçant son site industriel classé ZRR Confidentiel Défense, par l’acquisition d’une presse de moulage par compression, grande capacité (1500T) afin de se positionner sur de nouveaux marchés stratégiques et de réinternaliser des marchés sur lesquels elle n'était plus compétitive.;Projets territoriaux;2021-08-31;Chimie et Matériaux;;63.0;AUVERGNE-RHÔNE-ALPES
FRANSOR INDUSTRIE;TPE / PME;385354600;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;HAUTS-DE-SEINE;PAU;92700;48.9225179147, 2.24675160629;Cette entreprise spécialisée dans la fabrication de brasures tendres à base de métaux précieux, semi-précieux et communs souhaite vise à créer un nouveau service d'étude et de conception d'alliages nouveaux pour fabriquer de la brasure tendre. Le projet vise à relancer l'activité de l'entreprise dans un objectif de relocaliser sur le territoire national une activité essentielle, de préserver les emplois, d'innover, de moderniser et de digitaliser l'entreprise.;Relocalisation;2021-03-31;Intrants essentiels à l'industrie;;92.0;ÎLE-DE-FRANCE
NOVACYL (GROUPE SEQENS);GE;533213773;Indépendance / Compétitivité;AMI Capacity, portant sur des capacités de production de produits thérapeutiques liés au COVID-19;ISÈRE;SALAISE-SUR-SANNE;38150;45.3442511828, 4.80860532784;Le projet consiste à investir dans la construction d’une nouvelle unité performante, compétitive et respectueuse de l’environnement de production de 10 000 tonnespar an de paracétamol, soit un tiers de  la  consommation  européenne,  sur  la  plateforme  de  Roussillon.  En  partenariat  avec  de  grands laboratoires  pharmaceutiques  européens,  ce  projet  doit  permettre  de  compléter le dispositifde production   de   Seqens,   de   renforcer   sa   position   sur   le   marché   et   de   sécuriser   durablement l’approvisionnement de l’Europe en ceprincipe actif essentiel. Une cinquantaine d’emplois sera créée avec ce projet.;Santé - Capacités Covid;2021-12-02;Santé;;38.0;AUVERGNE-RHÔNE-ALPES
ATELIER DES QUATRE COLLINES;TPE / PME;443256201;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;DRÔME;KERVIGNAC;26390;45.23016575859357, 4.956025226311819;En constante évolution, l’Atelier des quatre collines a débuté l’année 2021 avec le projet de construction d’un nouveau bâtiment et le recrutement de 40 nouveaux postes par an, pour son site installé dans le nord de la Drôme depuis 2002. Les artisans recrutés seront formés au savoir-faire de maroquinerie s’ils sont minutieux, manuels, et motivés par un travail industriel en forte croissance. Une « intelligence de la main » qui, au-delà de la formule, parle « de savoir-faire, de polyvalence et d’autonomie des artisans-ouvriers », les maroquiniers intervenant sur toutes les étapes de fabrication pour créer un produit d’exception. Cette organisation unique permet de travailler en horaires libres (37 heures / semaine) pour permettre à chacun d’organiser sa vie de famille. Après quelques années, les carrières peuvent évoluer vers le management, la formation ou l’expertise technique.;Projets territoriaux;2021-06-03;Mode et Luxe;;26.0;AUVERGNE-RHÔNE-ALPES
BIOFOOD TOURAINE;TPE / PME;520611807;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;INDRE-ET-LOIRE;DIJON;37240;47.112526684035295, 0.7235754128885323;BIOFOOD TOURAINE est une société agroalimentaire spécialisée dans la fabrication de produits de snacking certifiés « Agriculture biologique ». Créée en 2010 sur la commune de Bossée (37), elle distribue ses produits sur le territoire national dans les réseaux spécialisés (BIOCOOP, NATURALIA...) ainsi que dans la restauration commerciale (FOOD CHERI, COJEAN...). Impactée par la crise sanitaire, l’entreprise a développé deux gammes complémentaires : une gamme apéritive (beignets, accras de crevettes, tempuras de crevettes…) ainsi qu’une gamme de dessert (biscuiterie libanaise) afin de diversifier son offre et sa clientèle. A cet effet, un permis de construire a été déposé et accepté en 2020 permettant à BIOFOOD TOURAINE d’augmenter la surface de production de 180 M² et de pouvoir répondre à ses besoins. L’entreprise prévoit la création de 9 emplois sur l’ensemble du programme.;Projets territoriaux;2021-06-03;Agroalimentaire;;37.0;CENTRE-VAL DE LOIRE
GLYCOBAR;TPE / PME;813495207;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;ISÈRE;MEYLAN;38240;45.20750087556584, 5.782650208789849;GlycoBAR a développé une technologie qui permet de filtrer le plasma sanguin groupé pour y éliminer les anticorps et ainsi le rendre compatible avec tous les receveurs, quel que soit le donneur. Ses clients développent des dispositifs médicaux utilisant cette technologie. Ce projet permettra à l’entreprise de se doter d’un outil de production de plus haut volume permettant de faire face à la demande mondiale.;Relocalisation;2021-02-23;Santé;;38.0;AUVERGNE-RHÔNE-ALPES
CENTRE DE RENOVATION DE VEHICULES D'OCCASION LENS - CRVO LENS;TPE / PME;898391594;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;PAS-DE-CALAIS;Lens;62300;50.45068642198315, 2.825886272538053;Le projet vise l'implantation d'un centre industriel de Renovation de Véhicules d'Occasion destiné à donner un 2ème cycle de vie à des véhicules appartenant à Emil Frey France et également réorientés par BC Auto Enchères. Pour la réalisation de ce projet, le Groupe fait l'acquisition d'un ancien site logistique du Groupe CARREFOUR situé à Lens et inexploité depuis 2016, sur lequel au travers d'importants travaux de réhabilitation, il va implanter 3 nouvelles activités inhérentes aux métiers de l'automobile, avec un Centre de Rénovation de Véhicules d'Occasion (CRVO), mais également 2 Plateformes de pièces détachées Automobile. Le projet prend en compte toutes les dernières innovations technologiques, en matière d'outillage, d'énergies, et de software. Ce centre a vocation à reconditionner 45 000 véhicules par an. L'objectif est de mutualiser l'ensemble des process exigés par le reconditionnement des véhicules d'occasion sur ce site industriel. La relocalisation de ces activités jusqu'alors traitées par les 55 concessions du Groupe réparties sur le périmètre géographique du CRVO LENS, autorisera de la croissance externe pour le réseau via de nouvelles activités telles que Day Repair, Detailing, etc.;Projets territoriaux;2022-01-27;Automobile;;62.0;HAUTS-DE-FRANCE
MUANCE;TPE / PME;889698007;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;MARNE;CLISSON;51000;48.94129586498133, 4.338848888565264;L’entreprise MUANCE est une PME dont l’activité principale consiste en la production de préfabriqués à destination du secteur du bâtiment. Le projet porté a pour ambition de créer une usine de préfabrication d’une capacité de 1000 modules par an au sein de la zone de Vatry, ainsi qu’un centre de formation. Cet investissement de 2.1M€ permettra à l’entreprise de développer des processes de production à bas-coût carbone, et conquérir ainsi le marché en développement de l’écoconstruction. Ces fonds contribueront également à la pérennisation de l’emploi sur le territoire : 54 emplois seront directement créés, et le centre de formation facilitera encore les recrutements.;Projets territoriaux;2021-05-05;Construction;;51.0;GRAND EST
